IO1;IO2;IO3;IO4;IO5;K1;K2;K3;K4;K5;OCB1;OCB2;OCB3;OCB4;OCB5
3;5;5;5;5;5;4;4;4;4;4;5;5;5;4
4;5;4;4;4;4;4;4;2;4;4;5;4;4;4
4;5;4;4;4;4;4;4;3;4;4;4;4;4;4
4;4;3;3;4;3;4;4;4;4;4;4;3;3;4
3;4;4;4;4;4;4;3;4;4;5;4;4;4;4
4;5;4;4;4;4;4;4;4;4;4;4;4;4;4
3;5;4;5;5;4;4;5;5;5;3;5;4;5;4
3;4;4;4;4;4;4;2;4;4;4;4;4;4;4
4;5;4;4;4;4;4;4;4;3;4;4;4;4;4
3;4;3;3;3;3;3;3;3;3;4;4;3;3;3
3;4;4;4;4;4;3;4;2;3;4;4;4;4;3
4;4;4;4;4;4;4;4;5;4;5;5;4;4;4
4;4;4;4;4;4;4;4;3;4;4;5;4;4;4
4;4;4;4;4;4;4;3;4;4;4;4;4;4;4
4;4;4;5;4;4;4;4;4;4;4;4;4;5;4
4;4;4;4;5;4;4;3;3;4;4;4;4;4;4
3;4;4;3;4;4;4;4;4;4;5;4;4;3;4
2;3;3;2;3;3;3;3;3;3;3;4;3;4;3
4;5;4;4;4;4;4;4;3;4;4;4;4;4;4
3;4;4;3;5;4;4;4;4;4;4;4;4;3;4
