City,Altitude,MinTemp,WindSpeed,Humidity,Rainfall
Aceh,21,24.9,11.8,69.7,5.5
Medan,25,25.8,9.8,70.3,80.3
Padang,3,25.8,11.8,68.9,178.5
Jambi,25,26.7,0.3,66.8,147.1
Bengkulu,16,26.8,12.6,68.8,400.6
Jakarta,2,25.3,15.3,77.3,404.5
Bandung,740,27.1,18.5,73.6,16.8
Semarang,3,25.3,14.2,73.8,301.5
Yogyakarta,107,25.7,7.9,73.6,364.4
Surabaya,3,28.4,17.6,69.7,216.8
Denpasar,1,25.6,11.1,74.2,294.2
Kupang,108,25.5,7.3,75.2,136.3
Samarinda,230,20.3,5.2,76.3,145.8
Manado,80,25.7,8.9,74.8,15.8
Ambon,12,25.9,7.1,72.2,60.4
Jayapura,99,27,11.8,74.6,115.8
